entidad	nom_ent	mun	nom_mun	pobtot	pobfem	pob0_14	pob15_64	pob65_mas
11	Guanajuato	022	Ocampo	26383	12881	7639	16713	2030
11	Guanajuato	023	Pénjamo	154960	80543	41718	97767	15431
11	Guanajuato	024	Pueblo Nuevo	12403	6482	3270	7814	1298
11	Guanajuato	025	Purísima del Rincón	83842	42508	24761	54183	4642
11	Guanajuato	026	Romita	65766	33513	19334	41331	5100
11	Guanajuato	027	Salamanca	273417	141139	65040	183866	24390
11	Guanajuato	028	Salvatierra	94126	48679	22221	60146	11698
11	Guanajuato	029	San Diego de la Unión	41054	21809	12192	25668	3180
11	Guanajuato	030	San Felipe	119793	61706	37895	73204	8583
11	Guanajuato	031	San Francisco del Rincón	130871	66889	36972	84845	8934
11	Guanajuato	032	San José Iturbide	89558	46139	26788	57664	5074
11	Guanajuato	033	San Luis de la Paz	128536	67884	39152	81174	8126
11	Guanajuato	034	Santa Catarina	5723	3030	1690	3482	551
11	Guanajuato	035	Santa Cruz de Juventino Rosas	82340	43178	23451	52862	6015
11	Guanajuato	036	Santiago Maravatío	6714	3495	1509	4188	1017
11	Guanajuato	037	Silao de la Victoria	203556	103483	59511	131586	12390
11	Guanajuato	038	Tarandacuao	11304	5810	2836	6997	1467
11	Guanajuato	039	Tarimoro	35905	18505	8801	22787	4316
11	Guanajuato	040	Tierra Blanca	20007	10347	6208	12430	1366
11	Guanajuato	041	Uriangato	61494	31862	13743	41704	6047
11	Guanajuato	042	Valle de Santiago	150054	77750	38468	97161	14361
11	Guanajuato	043	Victoria	21253	11318	6487	12823	1942
11	Guanajuato	044	Villagrán	65791	33804	18120	43312	4340
11	Guanajuato	045	Xichú	11143	5873	3471	6415	1257
11	Guanajuato	046	Yuriria	68741	35883	17472	42889	8375
12	Guerrero	001	Acapulco de Juárez	779566	407772	187082	509977	73317
12	Guerrero	002	Ahuacuotzingo	25205	13443	9051	13947	2207
12	Guerrero	003	Ajuchitlán del Progreso	37655	19277	11985	21816	3831
12	Guerrero	004	Alcozauca de Guerrero	21225	11330	8766	10672	1787
12	Guerrero	005	Alpoyeca	7813	4111	2511	4564	738
12	Guerrero	006	Apaxtla	11112	5709	3400	6324	1387
12	Guerrero	007	Arcelia	33267	17208	9929	19924	3414
12	Guerrero	008	Atenango del Río	9147	4735	2723	5332	1092
12	Guerrero	009	Atlamajalcingo del Monte	5811	3096	2184	3077	550
12	Guerrero	010	Atlixtac	28491	14985	11222	15381	1878
12	Guerrero	011	Atoyac de Álvarez	60680	31201	16643	37162	6856
12	Guerrero	012	Ayutla de los Libres	69123	35645	24211	40604	4308
12	Guerrero	013	Azoyú	15099	7712	4383	8893	1823
12	Guerrero	014	Benito Juárez	15442	7874	3469	9698	2275
12	Guerrero	015	Buenavista de Cuéllar	12982	6732	3236	8057	1689
12	Guerrero	016	Coahuayutla de José María Izazaga	12408	6149	3798	7210	1400
12	Guerrero	017	Cocula	15579	7948	4561	9176	1842
12	Guerrero	018	Copala	14463	7479	4271	8660	1529
12	Guerrero	019	Copalillo	15598	8122	5403	9048	1147
12	Guerrero	020	Copanatoyac	21648	11618	8394	11692	1562
12	Guerrero	021	Coyuca de Benítez	73056	37541	20083	45353	7587
12	Guerrero	022	Coyuca de Catalán	38554	19529	10886	21829	4688
12	Guerrero	023	Cuajinicuilapa	26627	13443	8520	15432	2643
12	Guerrero	024	Cualác	7874	4098	2709	4433	668
12	Guerrero	025	Cuautepec	17024	8755	5649	9744	1620
12	Guerrero	026	Cuetzala del Progreso	8272	4180	2258	4759	1255
12	Guerrero	027	Cutzamala de Pinzón	20537	10349	5626	12103	2802
12	Guerrero	028	Chilapa de Álvarez	123722	65981	42563	71373	9785
12	Guerrero	029	Chilpancingo de los Bravo	283354	148857	77191	187198	18694
12	Guerrero	030	Florencio Villarreal	22250	11343	7072	13120	2058
12	Guerrero	031	General Canuto A. Neri	6278	3223	1981	3472	825
12	Guerrero	032	General Heliodoro Castillo	37254	19000	14285	20533	2434
